Peptide,condition,lfc
ACM1_444_456,Neg15m_NegCTL,0.21679594649395195
ACM1_444_456,Neg1h_NegCTL,-0.12876053680886348
ACM1_444_456,Neg24h_NegCTL,-0.19522656890430465
ACM1_444_456,Neg30m_NegCTL,0.13531452669626898
ACM1_444_456,Neg4h_NegCTL,-0.22249665355926349
ACM1_444_456,Neg5m_NegCTL,0.30544366152306274
ACM1_444_456,Pos15m_PosCTL,0.05539178789961539
ACM1_444_456,Pos1h_PosCTL,-0.07002983323275795
ACM1_444_456,Pos24h_PosCTL,-0.12914111590594413
ACM1_444_456,Pos30m_PosCTL,0.07809200934545135
ACM1_444_456,Pos4h_PosCTL,-0.0957275678777485
ACM1_444_456,Pos5m_PosCTL,0.08224247436529156
ACM4_456_468,Neg15m_NegCTL,-0.02985368091622516
ACM4_456_468,Neg1h_NegCTL,-0.1100707360430304
ACM4_456_468,Neg24h_NegCTL,-0.10469840930917464
ACM4_456_468,Neg30m_NegCTL,-0.14476439157547788
ACM4_456_468,Neg4h_NegCTL,-0.13355713813538994
ACM4_456_468,Neg5m_NegCTL,0.08954768176368808
ACM4_456_468,Pos15m_PosCTL,0.1030295164035584
ACM4_456_468,Pos1h_PosCTL,-0.05403226339539526
ACM4_456_468,Pos24h_PosCTL,0.11657178720972036
ACM4_456_468,Pos30m_PosCTL,0.24234141847711815
ACM4_456_468,Pos4h_PosCTL,0.09254498121343988
ACM4_456_468,Pos5m_PosCTL,0.0287486435741983
ADDB_696_708,Neg15m_NegCTL,0.29592222951170566
ADDB_696_708,Neg1h_NegCTL,-0.10198928029738408
ADDB_696_708,Neg24h_NegCTL,-0.3650149108456959
ADDB_696_708,Neg30m_NegCTL,0.14195543243459596
ADDB_696_708,Neg4h_NegCTL,-0.13225168591134384
ADDB_696_708,Neg5m_NegCTL,0.2672487964330245
ADDB_696_708,Pos15m_PosCTL,-0.03804408063245969
ADDB_696_708,Pos1h_PosCTL,-0.06422590701187816
ADDB_696_708,Pos24h_PosCTL,-0.4179884183566688
ADDB_696_708,Pos30m_PosCTL,0.19250058832666755
ADDB_696_708,Pos4h_PosCTL,-0.3031706622890968
ADDB_696_708,Pos5m_PosCTL,0.14444677619424934
ADDB_706_718,Neg15m_NegCTL,0.09268476760103304
ADDB_706_718,Neg1h_NegCTL,-0.14487917223399016
ADDB_706_718,Neg24h_NegCTL,0.14717537322662633
ADDB_706_718,Neg30m_NegCTL,-0.13211695971831036
ADDB_706_718,Neg4h_NegCTL,-0.04250907750259593
ADDB_706_718,Neg5m_NegCTL,0.1021626479909988
ADDB_706_718,Pos15m_PosCTL,0.232066440615142
ADDB_706_718,Pos1h_PosCTL,0.09036533344436748
ADDB_706_718,Pos24h_PosCTL,0.1994893569906259
ADDB_706_718,Pos30m_PosCTL,0.3906757527244302
ADDB_706_718,Pos4h_PosCTL,0.09434295923007152
ADDB_706_718,Pos5m_PosCTL,0.1989851740097134
ADRB2_338_350,Neg15m_NegCTL,0.4302553783033585
ADRB2_338_350,Neg1h_NegCTL,0.6061323177146258
ADRB2_338_350,Neg24h_NegCTL,-0.05579148890482433
ADRB2_338_350,Neg30m_NegCTL,0.5502773877938516
ADRB2_338_350,Neg4h_NegCTL,0.3890990725073484
ADRB2_338_350,Neg5m_NegCTL,-0.03394340580411725
ADRB2_338_350,Pos15m_PosCTL,1.0923214637851526
ADRB2_338_350,Pos1h_PosCTL,0.5746308603143792
ADRB2_338_350,Pos24h_PosCTL,-0.19303035308618485
ADRB2_338_350,Pos30m_PosCTL,1.0244356277052546
ADRB2_338_350,Pos4h_PosCTL,0.747425985326775
ADRB2_338_350,Pos5m_PosCTL,1.0044839540530723
AMOT_744_756,Neg15m_NegCTL,0.3838290538450343
AMOT_744_756,Neg1h_NegCTL,-0.02124742589046372
AMOT_744_756,Neg24h_NegCTL,0.32234558264268376
AMOT_744_756,Neg30m_NegCTL,0.2568107978290482
AMOT_744_756,Neg4h_NegCTL,-0.00404800923461903
AMOT_744_756,Neg5m_NegCTL,0.3371589631490508
AMOT_744_756,Pos15m_PosCTL,-0.07627961638456011
AMOT_744_756,Pos1h_PosCTL,-0.0894858020672459
AMOT_744_756,Pos24h_PosCTL,0.15741688572200996
AMOT_744_756,Pos30m_PosCTL,0.01474548204399776
AMOT_744_756,Pos4h_PosCTL,0.02921617720094419
AMOT_744_756,Pos5m_PosCTL,-0.03622221299501375
ANDR_785_797,Neg15m_NegCTL,0.23571281621974727
ANDR_785_797,Neg1h_NegCTL,0.0958656133095325
ANDR_785_797,Neg24h_NegCTL,0.25802163216803553
ANDR_785_797,Neg30m_NegCTL,0.08504217153026072
ANDR_785_797,Neg4h_NegCTL,0.12974472642205165
ANDR_785_797,Neg5m_NegCTL,0.2359957646412676
ANDR_785_797,Pos15m_PosCTL,0.2721383689503594
ANDR_785_797,Pos1h_PosCTL,0.11034493041180848
ANDR_785_797,Pos24h_PosCTL,0.34997063674638146
ANDR_785_797,Pos30m_PosCTL,0.38546363625234054
ANDR_785_797,Pos4h_PosCTL,0.3193155223680059
ANDR_785_797,Pos5m_PosCTL,0.28650272260100884
ANXA1_209_221,Neg15m_NegCTL,0.2427466679527465
ANXA1_209_221,Neg1h_NegCTL,0.11570706027808372
ANXA1_209_221,Neg24h_NegCTL,0.16355191874255195
ANXA1_209_221,Neg30m_NegCTL,0.08980976478583683
ANXA1_209_221,Neg4h_NegCTL,0.1113688934241462
ANXA1_209_221,Neg5m_NegCTL,0.0580944118088631
