Peptide,Neg5m_NegCTL,Neg15m_NegCTL,Neg30m_NegCTL,Neg1h_NegCTL,Neg4h_NegCTL,Neg24h_NegCTL,Pos5m_PosCTL,Pos15m_PosCTL,Pos30m_PosCTL,Pos1h_PosCTL,Pos4h_PosCTL,Pos24h_PosCTL
ACM1_444_456,0.30544366152306274,0.21679594649395195,0.13531452669626898,-0.12876053680886348,-0.22249665355926349,-0.19522656890430465,0.08224247436529156,0.05539178789961539,0.07809200934545135,-0.07002983323275795,-0.0957275678777485,-0.12914111590594413
ACM4_456_468,0.08954768176368808,-0.02985368091622516,-0.14476439157547788,-0.1100707360430304,-0.13355713813538994,-0.10469840930917464,0.0287486435741983,0.1030295164035584,0.24234141847711815,-0.05403226339539526,0.09254498121343988,0.11657178720972036
ADDB_696_708,0.2672487964330245,0.29592222951170566,0.14195543243459596,-0.10198928029738408,-0.13225168591134384,-0.3650149108456959,0.14444677619424934,-0.03804408063245969,0.19250058832666755,-0.06422590701187816,-0.3031706622890968,-0.4179884183566688
ADDB_706_718,0.1021626479909988,0.09268476760103304,-0.13211695971831036,-0.14487917223399016,-0.04250907750259593,0.14717537322662633,0.1989851740097134,0.232066440615142,0.3906757527244302,0.09036533344436748,0.09434295923007152,0.1994893569906259
ADRB2_338_350,-0.03394340580411725,0.4302553783033585,0.5502773877938516,0.6061323177146258,0.3890990725073484,-0.05579148890482433,1.0044839540530723,1.0923214637851526,1.0244356277052546,0.5746308603143792,0.747425985326775,-0.19303035308618485
AMOT_744_756,0.3371589631490508,0.3838290538450343,0.2568107978290482,-0.02124742589046372,-0.00404800923461903,0.32234558264268376,-0.03622221299501375,-0.07627961638456011,0.01474548204399776,-0.0894858020672459,0.02921617720094419,0.15741688572200996
ANDR_785_797,0.2359957646412676,0.23571281621974727,0.08504217153026072,0.0958656133095325,0.12974472642205165,0.25802163216803553,0.28650272260100884,0.2721383689503594,0.38546363625234054,0.11034493041180848,0.3193155223680059,0.34997063674638146
ANXA1_209_221,0.0580944118088631,0.2427466679527465,0.08980976478583683,0.11570706027808372,0.1113688934241462,0.16355191874255195,0.459908358625533,0.5285831632070664,0.617093914431608,0.28004819590736957,0.4455914599987934,-0.07489538706446316
ARHG2_166_178,0.26412103786547164,0.375709558634985,-0.0759175047105328,-0.01640583590818809,0.03350725524370753,0.12275868990213616,-0.00635904304913351,0.1015967518982297,0.06290902711077588,0.3045595128967517,0.49244895094081154,0.3758708149491037
BAD_112_124,-0.08303403923055766,0.2743434813161354,0.26441433902424577,0.3644320778812092,0.2165535041421049,0.14854051952786868,0.9860094080032336,1.128370797329561,0.9585295553381178,0.6223472560446313,0.8008922567049348,0.00186152534004719
BAD_69_81,0.12818997109139593,0.08430674884722222,-0.04531590242523098,-0.06171417225859758,-0.2507049490632364,-0.16705821657101289,0.4072845940953173,0.4267624414484275,0.4176968951171611,0.1401959928798527,0.13569511265041417,0.00965633943463887
BAD_93_105,0.2799235536432058,-1.2566245411231117e-4,-0.05840799511696026,-0.11532268174665848,-0.03523430110626642,-0.02274082502375694,0.19687087871757775,0.20362997691800128,0.22063981792997972,-0.05168833002080308,0.05588629154744613,0.20247207003520984
BCKD_45_57,0.22353692597518,0.1351270072894657,-0.2286926585991512,-0.09110407518122,-0.03877511172333688,0.03742785618462698,0.12182637897067217,0.11120564780761466,0.1971063590415956,-0.04252558526610113,-0.00703057722073048,-0.01615773760876197
BUB1_207_219,0.02163779446607498,0.06695264219893104,-0.2100884938488698,-0.17481115575925504,-0.15385509653467633,-0.048450590552901573,0.04529770049439285,0.01890459137348532,0.1543478398868115,-0.02466415304274102,-0.01347899615545895,-0.01028971442055818
C1R_201_213,-0.33440926732059084,-0.3085830780591179,-0.34778588801435806,0,0,0,0.12221471904296756,-0.0882339378711093,0.21047729546759028,0.1931429941781591,-0.05853683767828391,0.08381800460677091
CAC1C_1974_1986,-0.16526333353682995,0.3130232539570219,0.523472103813163,0.6137368471172797,0.4057131062407319,-0.04409819130209917,1.0036821875332065,1.1145463348709324,0.970255193380524,0.5138448873063025,0.6092122046082048,-0.03034511944150549
CCR5_330_342,0.3806911973726483,0.39465045868576826,-0.01872363303530438,0.09338959346021893,0.10953923411125968,0.2945616299314275,0.03233108128228323,0.03568223158570009,0.04656512010701933,-0.08359088796768314,-0.22598258299094248,-0.09475724407050824
CD27_212_224,0.15534968750554218,0.19590302823198957,-0.02052494220999919,-0.16669197887606688,-0.06525150045176531,-0.04223304659451769,0.11544029862842256,0.21889259696994873,0.1579244026807028,0.2676233249226139,0.1811838662271956,0.16167717942748006
CDC2_154_169,-0.12256794755316196,0.10556923734073348,-0.06683093924064003,0.00648402292955937,-0.07579873731504114,-0.240878095721226,0.12462715329629148,0.14134920567396164,0.1659263547018135,-0.18485925201033945,-0.15033372973205,-0.2224669817567732
CDK7_163_175,0.15176255786201054,0.20674177613788527,-0.20646716797395495,-0.05708637447965614,-0.00121789993399268,0.06493470535496085,0.13050011765146033,0.20915332955508423,0.2627696919937176,-0.03489100385630668,-0.04691201452091261,-0.1326740403851471
CDN1A_139_151,0.09289024042568944,0.2934269301207835,0.32140831793210783,0.2524613174526215,0.16496463566532724,0.02401099267822282,0,0,0,0,0,0
CENPA_1_14,0.23290355416780736,0.29890332376820944,0.10643507291987132,0.02430025387713316,0.03404654201166727,0.08433670874332695,0.11642723525628244,0.20215907207568343,0.13560177113008215,0.02234334011471173,0.17896993712879272,0.20680086571431508
