condition,Neg5m_NegCTL,Neg15m_NegCTL,Neg30m_NegCTL,Neg1h_NegCTL,Neg4h_NegCTL,Neg24h_NegCTL,Pos5m_PosCTL,Pos15m_PosCTL,Pos30m_PosCTL,Pos1h_PosCTL,Pos4h_PosCTL,Pos24h_PosCTL
Neg5m_NegCTL,1,0.8637555914105733,0.7862972183129779,0.6705331768372309,0.7397803000471722,0.8495408267146163,0.7106715759496244,0.752277609867524,0.7671634707365008,0.7332335257000211,0.7373292923937688,0.7829500296466095
Neg15m_NegCTL,0.8637555914105733,1,0.9428060225384642,0.8709331905853319,0.8970155067065897,0.8857824462979181,0.8572506633559726,0.8834211712091954,0.8932192456752871,0.8986045266328765,0.8925795870343057,0.6741196947881855
Neg30m_NegCTL,0.7862972183129779,0.9428060225384642,1,0.9267283349561831,0.8989398605809555,0.8145813047711782,0.8589685853677317,0.8712268743914314,0.8870983446932815,0.9301419799465082,0.912079552594498,0.6117575462512171
Neg1h_NegCTL,0.6705331768372309,0.8709331905853319,0.9267283349561831,1,0.8964812133236257,0.7733203505355405,0.9108070936299486,0.9005355404089582,0.9014605647517041,0.9147450994880898,0.9358260456967702,0.46869522882181114
Neg4h_NegCTL,0.7397803000471722,0.8970155067065897,0.8989398605809555,0.8964812133236257,1,0.8821918475805305,0.8940882202585262,0.9112939544729842,0.9053542521879497,0.8323727916316195,0.8751133479960251,0.551321218653528
Neg24h_NegCTL,0.8495408267146163,0.8857824462979181,0.8145813047711782,0.7733203505355405,0.8821918475805305,1,0.8198249735876685,0.8451071080817917,0.8743914313534566,0.768054820211522,0.8068695647031395,0.7163583252190847
Pos5m_PosCTL,0.7106715759496244,0.8572506633559726,0.8589685853677317,0.9108070936299486,0.8940882202585262,0.8198249735876685,1,0.9780060614899391,0.9587385436268047,0.9020369164647893,0.9544234619844825,0.5168149564033789
Pos15m_PosCTL,0.752277609867524,0.8834211712091954,0.8712268743914314,0.9005355404089582,0.9112939544729842,0.8451071080817917,0.9780060614899391,1,0.9777994157740995,0.90934097701889,0.9508090969570967,0.567332035053554
Pos30m_PosCTL,0.7671634707365008,0.8932192456752871,0.8870983446932815,0.9014605647517041,0.9053542521879497,0.8743914313534566,0.9587385436268047,0.9777994157740995,1,0.9143190988429952,0.9478879496764482,0.6160175267770205
Pos1h_PosCTL,0.7332335257000211,0.8986045266328765,0.9301419799465082,0.9147450994880898,0.8323727916316195,0.768054820211522,0.9020369164647893,0.90934097701889,0.9143190988429952,1,0.9560121228349906,0.5881243191705742
Pos4h_PosCTL,0.7373292923937688,0.8925795870343057,0.912079552594498,0.9358260456967702,0.8751133479960251,0.8068695647031395,0.9544234619844825,0.9508090969570967,0.9478879496764482,0.9560121228349906,1,0.5674815450539911
Pos24h_PosCTL,0.7829500296466095,0.6741196947881855,0.6117575462512171,0.46869522882181114,0.551321218653528,0.7163583252190847,0.5168149564033789,0.567332035053554,0.6160175267770205,0.5881243191705742,0.5674815450539911,1
