Kinase,Peptide,LFC
BARK1,ACM1_444_456,-0.12914111590594413
CDK,ACM1_444_456,-0.12914111590594413
CK1,ACM1_444_456,-0.12914111590594413
DAPK,ACM1_444_456,-0.12914111590594413
DMPK,ACM1_444_456,-0.12914111590594413
DYRK,ACM1_444_456,-0.12914111590594413
ERK,ACM1_444_456,-0.12914111590594413
GSK,ACM1_444_456,-0.12914111590594413
IRAK,ACM1_444_456,-0.12914111590594413
JNK,ACM1_444_456,-0.12914111590594413
MLCK,ACM1_444_456,-0.12914111590594413
P38,ACM1_444_456,-0.12914111590594413
PDK1,ACM1_444_456,-0.12914111590594413
PEK,ACM1_444_456,-0.12914111590594413
PHK,ACM1_444_456,-0.12914111590594413
PIM,ACM1_444_456,-0.12914111590594413
PKCA,ACM1_444_456,-0.12914111590594413
RSK,ACM1_444_456,-0.12914111590594413
VRK2,ACM1_444_456,-0.12914111590594413
BARK1,ACM4_456_468,0.11657178720972036
FRAY,ACM4_456_468,0.11657178720972036
MELK,ACM4_456_468,0.11657178720972036
PDHK,ACM4_456_468,0.11657178720972036
PDK1,ACM4_456_468,0.11657178720972036
PIM,ACM4_456_468,0.11657178720972036
PKCA,ACM4_456_468,0.11657178720972036
PKCH,ACM4_456_468,0.11657178720972036
VRK2,ACM4_456_468,0.11657178720972036
BARK1,ADDB_696_708,-0.4179884183566688
CDK,ADDB_696_708,-0.4179884183566688
CK1,ADDB_696_708,-0.4179884183566688
DMPK,ADDB_696_708,-0.4179884183566688
DYRK,ADDB_696_708,-0.4179884183566688
ERK,ADDB_696_708,-0.4179884183566688
GSK,ADDB_696_708,-0.4179884183566688
IKK,ADDB_696_708,-0.4179884183566688
JNK,ADDB_696_708,-0.4179884183566688
MELK,ADDB_696_708,-0.4179884183566688
MST,ADDB_696_708,-0.4179884183566688
NEK,ADDB_696_708,-0.4179884183566688
P38,ADDB_696_708,-0.4179884183566688
PDK1,ADDB_696_708,-0.4179884183566688
PEK,ADDB_696_708,-0.4179884183566688
PKCA,ADDB_696_708,-0.4179884183566688
PKCH,ADDB_696_708,-0.4179884183566688
PLK,ADDB_696_708,-0.4179884183566688
QIK,ADDB_696_708,-0.4179884183566688
RIPK,ADDB_696_708,-0.4179884183566688
STE7,ADDB_696_708,-0.4179884183566688
VRK1,ADDB_696_708,-0.4179884183566688
VRK2,ADDB_696_708,-0.4179884183566688
BARK1,ADDB_706_718,0.1994893569906259
CDK,ADDB_706_718,0.1994893569906259
CHK1,ADDB_706_718,0.1994893569906259
DMPK,ADDB_706_718,0.1994893569906259
DYRK,ADDB_706_718,0.1994893569906259
ERK,ADDB_706_718,0.1994893569906259
JNK,ADDB_706_718,0.1994893569906259
MAPKAPK,ADDB_706_718,0.1994893569906259
MST,ADDB_706_718,0.1994893569906259
NEK,ADDB_706_718,0.1994893569906259
P38,ADDB_706_718,0.1994893569906259
PAKA,ADDB_706_718,0.1994893569906259
PDHK,ADDB_706_718,0.1994893569906259
PDK1,ADDB_706_718,0.1994893569906259
PEK,ADDB_706_718,0.1994893569906259
PHK,ADDB_706_718,0.1994893569906259
PIM,ADDB_706_718,0.1994893569906259
PKCA,ADDB_706_718,0.1994893569906259
PLK,ADDB_706_718,0.1994893569906259
RAD53,ADDB_706_718,0.1994893569906259
RSK,ADDB_706_718,0.1994893569906259
VRK2,ADDB_706_718,0.1994893569906259
AKT,ADRB2_338_350,-0.19303035308618485
BARK1,ADRB2_338_350,-0.19303035308618485
CAMK1,ADRB2_338_350,-0.19303035308618485
CDK,ADRB2_338_350,-0.19303035308618485
CHK1,ADRB2_338_350,-0.19303035308618485
