Kinase,Peptide,LFC
BARK1,ACM1_444_456,0.05539178789961539
CDK,ACM1_444_456,0.05539178789961539
CK1,ACM1_444_456,0.05539178789961539
DAPK,ACM1_444_456,0.05539178789961539
DMPK,ACM1_444_456,0.05539178789961539
DYRK,ACM1_444_456,0.05539178789961539
ERK,ACM1_444_456,0.05539178789961539
GSK,ACM1_444_456,0.05539178789961539
IRAK,ACM1_444_456,0.05539178789961539
JNK,ACM1_444_456,0.05539178789961539
MLCK,ACM1_444_456,0.05539178789961539
P38,ACM1_444_456,0.05539178789961539
PDK1,ACM1_444_456,0.05539178789961539
PEK,ACM1_444_456,0.05539178789961539
PHK,ACM1_444_456,0.05539178789961539
PIM,ACM1_444_456,0.05539178789961539
PKCA,ACM1_444_456,0.05539178789961539
RSK,ACM1_444_456,0.05539178789961539
VRK2,ACM1_444_456,0.05539178789961539
BARK1,ACM4_456_468,0.1030295164035584
FRAY,ACM4_456_468,0.1030295164035584
MELK,ACM4_456_468,0.1030295164035584
PDHK,ACM4_456_468,0.1030295164035584
PDK1,ACM4_456_468,0.1030295164035584
PIM,ACM4_456_468,0.1030295164035584
PKCA,ACM4_456_468,0.1030295164035584
PKCH,ACM4_456_468,0.1030295164035584
VRK2,ACM4_456_468,0.1030295164035584
BARK1,ADDB_696_708,-0.03804408063245969
CDK,ADDB_696_708,-0.03804408063245969
CK1,ADDB_696_708,-0.03804408063245969
DMPK,ADDB_696_708,-0.03804408063245969
DYRK,ADDB_696_708,-0.03804408063245969
ERK,ADDB_696_708,-0.03804408063245969
GSK,ADDB_696_708,-0.03804408063245969
IKK,ADDB_696_708,-0.03804408063245969
JNK,ADDB_696_708,-0.03804408063245969
MELK,ADDB_696_708,-0.03804408063245969
MST,ADDB_696_708,-0.03804408063245969
NEK,ADDB_696_708,-0.03804408063245969
P38,ADDB_696_708,-0.03804408063245969
PDK1,ADDB_696_708,-0.03804408063245969
PEK,ADDB_696_708,-0.03804408063245969
